10:38:34.730 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
10:38:34.768 [main] INFO  c.example.BaiTest.BaiTestApplication - Starting BaiTestApplication using Java 20.0.1 with PID 30488 (E:\FULLSTACK_BACKEND\BaiTest\target\classes started by HP in E:\FULLSTACK_BACKEND\BaiTest)
10:38:34.768 [main] INFO  c.example.BaiTest.BaiTestApplication - No active profile set, falling back to 1 default profile: "default"
10:38:35.729 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
10:38:35.872 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 131 ms. Found 22 JPA repository interfaces.
10:38:36.410 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
10:38:36.418 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
10:38:36.420 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:38:36.420 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
10:38:36.501 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:38:36.501 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1696 ms
10:38:36.633 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
10:38:36.713 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
10:38:36.718 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
10:38:37.069 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
10:38:37.102 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
10:38:37.497 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1224e1b6
10:38:37.499 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
10:38:38.880 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
10:38:39.181 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
10:38:39.596 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
10:38:39.719 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
10:38:40.288 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7cf618f3, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@45745de6, org.springframework.security.web.context.SecurityContextHolderFilter@16c9ec5b, org.springframework.security.web.header.HeaderWriterFilter@7db57566, org.springframework.web.filter.CorsFilter@7f9ebcfe, org.springframework.security.web.authentication.logout.LogoutFilter@7b2adbde, com.example.BaiTest.filters.JwtTokenFilter@1ebcfcf1, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@34f37ed4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@74974165, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3d577add, org.springframework.security.web.access.ExceptionTranslationFilter@6272936b, org.springframework.security.web.access.intercept.AuthorizationFilter@2fad7002]
10:38:40.663 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
10:38:40.684 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
10:38:40.693 [main] INFO  c.example.BaiTest.BaiTestApplication - Started BaiTestApplication in 6.419 seconds (process running for 7.239)
10:38:50.906 [http-nio-8088-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
10:38:50.907 [http-nio-8088-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
10:38:50.908 [http-nio-8088-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
10:38:51.173 [http-nio-8088-exec-2] WARN  o.s.w.s.h.HandlerMappingIntrospector - Cache miss for REQUEST dispatch to '/api/courseType/top3CourseType' (previous null). Performing MatchableHandlerMapping lookup. This is logged once only at WARN level, and every time at TRACE.
10:39:22.305 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
10:39:22.307 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
10:39:22.335 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
